Такси. Быстро, комфортно, скидки;1
Такси. Постоянным клиентам скидки;1
Такси. Быстро.;1
Заказ такси. С мобильного.;1
Такси! 100% подача!;1
Такси. Дешево. С мобильного. CallBack;1
Такси. Индивидуальный подход. гарантированная подача. Гибкие цены;1
Такси. машини есть всегда. Вопрос в цене;1
С такси проблема - не беда! Для вас работаем всегда!;1
Такси. Только у нас низкие цены;1
Заказ такси с телефона в несколько кликов. Только у нас.;1
Такси - дешевле не найти;1
Такси. Звонок бесплатный. Callback. Приложение по ссылке;1
Дешевое такси.;1
Такси. Быстро. Удобно. Постоянным клиентам скидки;1
Пицца. Заказ online. Скачай приложение прямо сейчас;2
Вкусная пицца, доставка на дом. Звони сейчас;2
Пицца. Callback;2
Пицца. При опоздании пицца в подарок;2
Вторая пицца в подарок;2
